ID:9936 SKID:BK1+164  timeStamp:2025-03-28 08:09:28:739
ID:9936 SKID:BK1+164  timeStamp:2025-03-28 08:09:28:918
ID:9936 SKID:BK1+164  timeStamp:2025-03-28 08:09:29:96
ID:9936 SKID:BK1+164  timeStamp:2025-03-28 08:09:29:270
ID:9936 SKID:BK1+164  timeStamp:2025-03-28 08:09:29:444
ID:9936 SKID:K1122+986.5  timeStamp:2025-03-28 08:09:29:617
ID:9936 SKID:K1122+986.5  timeStamp:2025-03-28 08:09:29:792
ID:9936 SKID:K1122+986.5  timeStamp:2025-03-28 08:09:29:974
ID:9936 SKID:K1122+986.5  timeStamp:2025-03-28 08:09:30:176
ID:9936 SKID:K1122+980.5  timeStamp:2025-03-28 08:09:30:354
ID:9936 SKID:K1122+980.5  timeStamp:2025-03-28 08:09:30:788
ID:9936 SKID:K1122+980.5  timeStamp:2025-03-28 08:09:31:39
ID:9936 SKID:K1122+980.5  timeStamp:2025-03-28 08:09:31:218
ID:9936 SKID:K1122+975.5  timeStamp:2025-03-28 08:09:31:402
ID:9936 SKID:K1122+974.5  timeStamp:2025-03-28 08:09:31:577
ID:9936 SKID:K1122+974.5  timeStamp:2025-03-28 08:09:31:759
